Date,Price,Open,High,Low,Change %
2023-05-20,49.1668,48.8557,49.3475,48.8362,0.66
2023-05-21,49.6123,49.1479,49.6123,48.9631,0.91
2023-05-22,50.2205,49.5772,50.2205,49.0787,1.23
2023-05-23,52.0816,50.228,52.0816,50.006,3.71
2023-05-24,53.2778,52.1543,53.2778,52.0868,2.3
2023-05-25,51.3748,53.315,53.3974,51.3748,-3.57
2023-05-26,48.4828,51.2808,51.2808,48.4828,-5.63
2023-05-27,47.3575,48.4562,48.4562,47.3575,-2.32
2023-05-28,49.6294,47.2784,49.6294,47.212,4.8
2023-05-29,50.0207,49.8612,50.9036,49.8612,0.79
2023-05-30,48.5401,49.9845,49.9845,48.5401,-2.96
2023-05-31,47.5965,48.4028,48.4028,47.5965,-1.94
2023-06-01,46.5457,47.4972,48.0438,46.5457,-2.21
2023-06-02,45.3311,46.4032,46.4032,44.9562,-2.61
2023-06-03,44.083,45.3247,45.3247,44.083,-2.75
2023-06-04,44.0632,44.0452,44.0632,43.4938,-0.04
2023-06-05,43.4688,44.0632,44.1585,43.4,-1.35
2023-06-06,43.3575,43.4166,43.4166,43.3575,-0.26
2023-06-08,44.8049,43.3575,45.6768,43.3575,3.34
2023-06-09,43.4915,44.7329,44.7329,43.4915,-2.93
2023-06-10,45.6204,43.4505,45.6204,43.3461,4.89
2023-06-11,45.9053,45.7324,46.0458,45.7324,0.62
2023-06-12,48.2724,45.9331,48.2724,45.6504,5.16
2023-06-13,48.9105,48.4464,49.0111,48.4464,1.32
2023-06-14,48.3563,48.8733,48.8733,47.385,-1.13
2023-06-15,50.6842,48.4218,50.7305,48.3841,4.81
2023-06-16,48.5387,50.6458,50.6458,48.2499,-4.23
2023-06-17,46.4331,48.5569,48.5569,46.4331,-4.34
2023-06-18,46.8538,46.3889,46.8538,46.1241,0.91
2023-06-19,47.529,46.8538,47.5374,46.8538,1.44
2023-06-20,52.7365,47.529,52.7365,47.529,10.96
2023-06-21,57.4876,52.7365,57.5276,52.7365,9.01
2023-06-22,55.0465,57.4876,57.5361,55.0465,-4.25
2023-06-23,53.9428,55.0465,55.0465,52.7973,-2.0
2023-06-24,53.0138,53.9428,54.1335,52.8285,-1.72
2023-06-25,52.2156,53.0138,53.0344,52.1902,-1.51
2023-06-26,51.6848,52.2156,52.5045,51.6848,-1.02
2023-06-27,51.423,51.6848,51.7057,51.423,-0.51
2023-06-28,50.2704,51.423,51.423,49.9617,-2.24
2023-06-29,48.0399,50.2704,50.289,48.0399,-4.44
2023-06-30,47.425,48.0399,48.0399,46.4226,-1.28
2023-07-01,46.8549,47.425,47.4901,46.816,-1.2
2023-07-02,48.0304,46.8549,48.0304,46.8549,2.51
2023-07-03,49.5891,48.0304,49.5891,48.0304,3.25
2023-07-04,49.6099,49.5891,50.7309,49.5891,0.04
2023-07-05,47.5357,49.6099,49.6099,47.535,-4.18
2023-07-06,49.5508,47.5357,49.5508,47.3058,4.24
2023-07-07,48.4443,49.5508,49.6329,48.4443,-2.23
2023-07-08,46.8293,48.4443,48.495,46.8293,-3.33
2023-07-09,45.9354,46.8293,46.8293,45.9197,-1.91
2023-07-10,46.3444,45.9354,46.3761,45.9354,0.89
2023-07-11,45.7982,46.3444,46.3444,45.6709,-1.18
2023-07-12,45.3085,45.7982,46.6142,45.3085,-1.07
2023-07-13,46.4832,45.3085,46.4832,44.0455,2.59
2023-07-14,47.0798,46.4832,47.4091,46.4832,1.28
2023-07-15,45.989,47.0798,47.0798,45.7838,-2.32
2023-07-16,45.2887,45.989,46.0661,45.2887,-1.52
2023-07-17,45.4435,45.2887,45.4435,44.9627,0.34
2023-07-18,45.5564,45.4435,45.5773,45.3224,0.25
2023-07-19,43.7979,45.5564,45.5564,43.7979,-3.86
2023-07-20,43.3692,43.7979,43.7979,43.2782,-0.98
2023-07-21,42.1046,43.3692,43.495,42.1046,-2.92
2023-07-22,40.8438,42.1046,42.1046,40.5832,-2.99
2023-07-23,41.1683,40.8438,41.1683,40.7428,0.79
2023-07-24,40.7917,41.1683,41.4407,40.7917,-0.91
2023-07-25,40.0372,40.7917,40.7917,40.019,-1.85
2023-07-26,41.0064,40.0372,41.0064,40.0372,2.42
2023-07-27,40.0012,41.0064,41.0384,40.0012,-2.45
2023-07-28,38.6727,40.0012,40.0012,38.6727,-3.32
2023-07-29,37.7595,38.6727,38.6727,37.7312,-2.36
2023-07-30,38.9118,37.7595,38.9118,37.7595,3.05
2023-07-31,39.2024,38.9118,39.3226,38.9118,0.75
2023-08-01,39.8956,39.2024,40.0207,39.2024,1.77
2023-08-02,39.9514,39.8956,40.1371,39.8956,0.14
2023-08-03,39.5335,39.9514,39.9586,39.4914,-1.05
2023-08-04,37.9467,39.5335,39.5335,37.9467,-4.01
2023-08-05,37.4283,37.9467,37.9467,37.2334,-1.37
2023-08-06,37.2954,37.4283,37.4517,37.0989,-0.36
2023-08-07,38.51,37.2954,38.51,37.2954,3.26
2023-08-08,40.6067,38.51,40.6067,37.9737,5.44
2023-08-09,41.1858,40.6067,41.4264,40.6067,1.43
2023-08-10,38.9783,41.1858,41.1858,38.9783,-5.36
2023-08-11,36.0746,38.9783,38.9783,36.0746,-7.45
2023-08-12,34.4978,36.0746,36.0746,34.4723,-4.37
2023-08-13,35.8057,34.4978,35.8057,34.4978,3.79
2023-08-14,35.8867,35.8057,36.1256,35.4505,0.23
2023-08-15,36.9109,35.8867,37.06,35.8867,2.85
2023-08-16,38.0511,36.9109,38.0511,36.564,3.09
2023-08-17,49.6027,38.0511,49.6027,38.0511,30.36
2023-08-18,47.4544,49.6027,51.0296,46.4604,-4.33
2023-08-19,44.9147,47.4544,47.4544,44.451,-5.35
2023-08-20,44.938,44.9147,45.4997,44.3906,0.05
2023-08-21,45.6508,44.938,45.7019,44.938,1.59
2023-08-22,46.1766,45.6508,46.1766,45.1154,1.15
2023-08-23,44.8061,46.1766,46.1766,44.0487,-2.97
2023-08-24,45.4437,44.8061,45.5126,44.8061,1.42
2023-08-25,41.8699,45.4437,45.4437,41.8699,-7.86
2023-08-26,40.5923,41.8699,41.8699,40.5923,-3.05
2023-08-27,40.5956,40.5923,40.6281,40.4377,0.01
2023-08-28,41.1061,40.5956,41.113,40.591,1.26
2023-08-29,43.5677,41.1061,43.5889,40.6081,5.99
2023-08-30,41.6227,43.5677,43.5677,41.6227,-4.46
2023-08-31,40.2932,41.6227,41.6227,40.1236,-3.19
2023-09-01,39.6229,40.2932,40.2932,39.0838,-1.66
2023-09-02,38.7966,39.6229,39.6229,38.7966,-2.09
2023-09-03,40.152,38.7966,40.152,38.7559,3.49
2023-09-04,40.9124,40.2237,40.9124,40.2237,1.89
2023-09-05,42.3881,40.9124,42.7806,40.9124,3.61
2023-09-06,42.081,42.3881,42.3881,41.3376,-0.72
2023-09-07,42.2887,42.081,42.2887,41.6973,0.49
2023-09-08,42.6572,42.2887,42.6572,42.2887,0.87
2023-09-09,42.035,42.6572,42.6572,41.6923,-1.46
2023-09-10,43.1869,42.035,43.1869,41.9452,2.74
2023-09-11,46.2594,43.1869,46.2594,43.1869,7.11
2023-09-12,45.7906,46.2594,46.315,45.023,-1.01
2023-09-13,45.5143,45.7776,45.7776,45.185,-0.6
2023-09-14,43.8062,45.5143,45.7564,43.8062,-3.75
2023-09-15,42.0011,43.7448,43.7448,42.0011,-4.12
2023-09-16,41.2327,41.9309,41.9309,41.2327,-1.83
2023-09-17,40.8793,41.2211,41.2291,40.6878,-0.86
2023-09-18,43.0672,40.9317,43.0805,40.9317,5.35
2023-09-19,43.4041,43.0455,43.4041,42.8347,0.78
2023-09-20,43.6469,43.4266,43.7969,43.4266,0.56
2023-09-21,42.565,43.628,43.628,42.565,-2.48
2023-09-22,39.5629,42.5541,42.5882,39.5629,-7.05
2023-09-23,39.0052,39.4574,39.4574,38.676,-1.41
2023-09-24,40.2886,39.0403,40.2886,39.0403,3.29
2023-09-25,41.0293,40.2883,41.0293,40.2883,1.84
2023-09-26,41.7591,41.0293,41.8572,41.0293,1.78
2023-09-27,40.605,41.7591,41.7591,40.605,-2.76
2023-09-28,41.4872,40.605,41.4872,39.8839,2.17
2023-09-29,38.8333,41.4872,41.6412,38.8333,-6.4
2023-09-30,38.4038,38.8333,38.8333,37.5016,-1.11
2023-10-01,39.7973,38.4038,39.7973,38.4038,3.63
2023-10-02,42.3216,39.7973,42.6408,39.7973,6.34
2023-10-03,40.7429,42.1905,42.1905,40.6017,-3.73
2023-10-04,40.6664,40.739,40.8016,40.6337,-0.19
2023-10-05,39.8322,40.6664,40.6664,39.8322,-2.05
2023-10-06,38.7532,39.7641,39.7641,38.6564,-2.71
2023-10-07,39.2558,38.664,39.2558,38.3273,1.3
2023-10-08,39.6228,39.2845,39.6683,39.2845,0.93
2023-10-09,40.5143,39.7124,40.5931,39.7124,2.25
2023-10-10,41.1221,40.4713,41.1221,40.3677,1.5
2023-10-11,40.701,41.1199,41.1199,40.2625,-1.02
